Name;run;seed;best_epoch;AP;acc;Stress
mlp_3_16_12_scaled_stress1;1;0.0;70.0;0.8838;0.9147;
mlp_3_16_12_scaled_stress1;2;1234.0;88.0;0.874;0.9084;
mlp_3_16_12_scaled_stress1;3;2305.0;84.0;0.8801;0.9149;
mlp_3_16_12_scaled_stress1;mean;;;0.8793000000000001;0.9126666666666666;
mlp_3_16_12_scaled_stress10;1;0.0;88.0;0.8836;0.9165;0.0030523547902703
mlp_3_16_12_scaled_stress10;2;1234.0;90.0;0.8772;0.9137;
mlp_3_16_12_scaled_stress10;3;2305.0;79.0;0.8677;0.9137;
mlp_3_16_12_scaled_stress10;mean;;;0.8761666666666668;0.9146333333333333;
mlp_3_3;1;0.0;88.0;0.8769;0.9153;
mlp_3_3;2;1234.0;56.0;0.8713;0.9129;
mlp_3_3;3;2305.0;91.0;0.8824;0.9137;
mlp_3_3;mean;;;0.8768666666666666;0.9139666666666667;
mlp_3_8_3;1;0.0;97.0;0.8739;0.9121;
mlp_3_8_3;2;1234.0;100.0;0.8766;0.9141;
mlp_3_8_3;3;2305.0;92.0;0.8601;0.906;
mlp_3_8_3;mean;;;0.8702000000000001;0.9107333333333334;
mlp_3_32_3;1;0.0;93.0;0.8801;0.9145;
mlp_3_32_3;2;1234.0;92.0;0.873;0.9068;
mlp_3_32_3;3;2305.0;97.0;0.8722;0.9157;
mlp_3_32_3;mean;;;0.8750999999999999;0.9123333333333333;
mlp_3_8_8_3;1;0.0;84.0;0.8626;0.9036;
mlp_3_8_8_3;2;1234.0;99.0;0.8684;0.9056;
mlp_3_8_8_3;3;2305.0;99.0;0.86;0.9052;
mlp_3_8_8_3;mean;;;0.8636666666666666;0.9047999999999999;
mlp_3_16_16_3;1;0.0;63.0;0.8603;0.9064;
mlp_3_16_16_3;2;1234.0;85.0;0.8697;0.9113;
mlp_3_16_16_3;3;2305.0;62.0;0.8755;0.9092;
mlp_3_16_16_3;mean;;;0.8685;0.9089666666666666;
mlp_3_32_32_3;1;0.0;82.0;0.867;0.9076;
mlp_3_23_32_3;2;1234.0;96.0;0.8735;0.91;
mlp_3_32_32_3;3;2305.0;100.0;0.8778;0.9157;
mlp_3_32_32_3;mean;;;0.8724000000000001;0.91165;
mlp_3_8_8_8_3;1;0.0;84.0;0.8525;0.8955;
mlp_3_8_8_8_3;2;1234.0;66.0;0.8573;0.8967;
mlp_3_8_8_8_3;3;2305.0;94.0;0.8576;0.9019;
mlp_3_8_8_8_3;mean;;;0.8558;0.8980333333333334;
mlp_3_16_16_16_3;1;0.0;92.0;0.8637;0.9084;
mlp_3_16_16_16_3;2;1234.0;99.0;0.8658;0.9028;
mlp_3_16_16_16_3;3;2305.0;90.0;0.8704;0.9096;
mlp_3_16_16_16_3;mean;;;0.8666333333333333;0.9069333333333333;
mlp_3_32_32_32_3;1;0.0;95.0;0.8668;0.9088;
mlp_3_23_32_32_3;2;1234.0;83.0;0.8638;0.9032;
mlp_3_32_32_32_3;3;2305.0;100.0;0.8733;0.9117;
mlp_3_32_32_32_3;mean;;;0.87005;0.91025;
